movie_id,title,industry,release_date,release_year,release_weekday,genre,languages,num_languages,weekend1_collection_cr,worldwide_collection_cr,india_net_cr,india_gross_cr,overseas_cr
10830,My Hero (Kannada),Kannada,30-08-24,2024,4,Suspense|Thriller,Kannada,1,,,,,
10820,Taekwondo Girl,Kannada,30-08-24,2024,4,Action|Drama|Family|Sports,Kannada,1,0.02,0.03,0.02,0.03,
10819,The Ruler,Kannada,30-08-24,2024,4,Drama,Kannada,1,0.03,0.1,0.1,0.1,
10803,Pepe,Kannada,30-08-24,2024,4,Action|Thriller,Kannada,1,0.49,0.84,0.75,0.84,
10802,Laughing Buddha,Kannada,30-08-24,2024,4,Comedy|Mystery,Kannada,1,0.32,1.18,1.04,1.18,
10791,The Journalist,Kannada,23-08-24,2024,4,Crime|Suspense|Thriller,Kannada,1,,0.02,0.02,0.02,
10790,C (Kannada),Kannada,23-08-24,2024,4,Drama|Thriller,Kannada,1,0.01,0.01,0.01,0.01,
10789,Taj (Kannada),Kannada,23-08-24,2024,4,Drama|Thriller,Kannada,1,0.01,0.01,0.01,0.01,
10769,Powder,Kannada,23-08-24,2024,4,Comedy|Thriller,Kannada,1,0.34,0.46,0.42,0.46,
10756,Gowri,Kannada,15-08-24,2024,3,Action|Drama,Kannada,1,0.22,0.27,0.26,0.27,
10754,Krishnam Pranaya Sakhi,Kannada,15-08-24,2024,3,Comedy|Romantic,Kannada,1,6.23,21.2,18.83,21.2,0
10734,Idu Entha Lokavayya,Kannada,09-08-24,2024,4,Comedy|Drama,Kannada,1,0.03,0.05,0.05,0.05,
10721,Kabandha,Kannada,09-08-24,2024,4,Horror|Thriller,Kannada,1,0.03,0.04,0.04,0.04,
10720,Genius Mutta,Kannada,09-08-24,2024,4,Drama,Kannada,1,0.03,0.05,0.05,0.05,
10707,Bheema,Kannada,09-08-24,2024,4,Action|Thriller,Kannada,1,11.35,26.04,22.29,26.04,0
10688,Ishq (Kannada),Kannada,02-08-24,2024,4,Drama|Romantic,Kannada,1,0.03,0.06,0.06,0.06,
